Product ID,Customer ID,Sales Person ID,Quantity Sold,Payment Method,Quantity Returned,Order Date
99,13,3,11,Debit Card,5,9/2/2023
3,403,10,23,Credit Card,4,11/28/2023
36,7,1,26,Online Payment,3,10/24/2023
97,136,4,29,Online Payment,2,10/14/2023
94,580,9,58,Online Payment,5,7/1/2023
13,261,5,24,Debit Card,2,12/8/2023
70,412,8,29,Online Payment,5,10/17/2023
50,335,1,59,Debit Card,3,10/6/2023
57,439,7,46,Debit Card,3,12/17/2023
71,476,4,33,Credit Card,1,4/9/2023
25,590,2,59,Online Payment,1,5/14/2023
63,114,5,8,Online Payment,0,4/16/2023
22,61,10,45,Online Payment,2,10/29/2023
50,359,4,60,Debit Card,2,3/5/2023
57,509,1,38,Credit Card,3,3/14/2023
66,50,10,66,Debit Card,4,12/8/2023
28,258,6,23,Online Payment,3,3/28/2023
91,208,2,51,Credit Card,2,12/16/2023
76,510,6,36,Cash,5,6/29/2023
98,315,9,46,Online Payment,1,5/6/2023
3,486,1,65,Credit Card,4,9/7/2023
50,351,1,38,Online Payment,2,1/10/2023
17,320,2,15,Credit Card,3,5/25/2023
44,420,3,9,Cash,0,7/4/2023
56,499,7,30,Debit Card,4,8/30/2023
50,375,2,10,Credit Card,0,11/3/2023
83,570,1,9,Credit Card,0,10/1/2023
63,214,10,8,Online Payment,0,4/22/2023
30,62,10,68,Cash,3,9/20/2023
51,356,8,26,Credit Card,3,4/7/2023
80,469,8,60,Credit Card,5,1/9/2023
72,355,5,20,Credit Card,1,2/9/2023
11,324,2,27,Debit Card,2,6/28/2023
25,563,3,21,Debit Card,3,10/11/2023
80,587,1,55,Credit Card,2,7/21/2023
95,595,1,15,Online Payment,2,11/14/2023
7,412,3,24,Credit Card,4,12/17/2023
11,530,9,30,Online Payment,5,3/12/2023
70,329,1,56,Online Payment,5,3/18/2023
5,30,8,24,Credit Card,2,11/14/2023
37,505,10,59,Credit Card,1,5/31/2023
81,302,3,16,Credit Card,5,9/29/2023
28,95,3,27,Debit Card,5,8/22/2023
84,286,5,46,Online Payment,1,5/9/2023
85,415,5,40,Credit Card,2,8/3/2023
24,135,7,55,Online Payment,5,2/21/2023
21,182,5,47,Debit Card,3,1/13/2023
6,553,8,51,Credit Card,3,7/10/2023
9,196,1,37,Cash,2,6/10/2023
31,363,8,32,Cash,1,12/13/2023
64,91,9,25,Cash,5,7/1/2023
92,599,6,53,Debit Card,3,11/4/2023
61,505,3,36,Cash,5,12/7/2023
5,385,8,36,Credit Card,3,6/21/2023
57,170,3,29,Credit Card,3,5/23/2023
55,467,1,26,Online Payment,4,1/5/2023
9,247,1,42,Online Payment,1,3/18/2023
63,450,9,64,Online Payment,1,8/9/2023
98,54,1,70,Debit Card,1,3/21/2023
56,490,1,44,Credit Card,3,1/27/2023
97,124,3,69,Debit Card,4,7/10/2023
27,70,3,32,Cash,4,2/21/2023
29,365,4,39,Debit Card,2,9/14/2023
75,31,3,10,Debit Card,0,2/4/2023
49,269,1,57,Credit Card,2,10/7/2023
94,496,10,11,Online Payment,1,7/21/2023
36,323,3,11,Cash,4,9/27/2023
60,43,8,70,Credit Card,5,9/18/2023
69,151,8,4,Online Payment,0,8/4/2023
28,419,3,58,Credit Card,4,6/7/2023
63,433,8,21,Online Payment,5,8/27/2023
95,76,9,40,Debit Card,5,4/19/2023
62,357,7,16,Online Payment,4,3/22/2023
20,284,5,59,Online Payment,1,1/31/2023
69,388,8,27,Cash,2,6/16/2023
48,207,9,49,Online Payment,5,1/9/2023
29,506,10,51,Online Payment,4,7/31/2023
56,551,9,69,Debit Card,5,7/5/2023
65,375,2,30,Debit Card,3,10/6/2023
74,12,4,64,Online Payment,5,10/16/2023
6,330,9,70,Debit Card,5,5/14/2023
42,265,10,12,Debit Card,5,10/15/2023
91,273,8,61,Online Payment,1,12/22/2023
14,22,10,64,Online Payment,2,1/2/2023
85,206,8,9,Credit Card,0,3/18/2023
14,549,2,37,Online Payment,3,8/28/2023
21,421,10,33,Debit Card,4,4/25/2023
99,476,3,13,Debit Card,5,11/20/2023
52,232,8,31,Online Payment,3,10/24/2023
31,564,7,37,Online Payment,2,12/3/2023
43,64,6,37,Cash,5,12/11/2023
62,43,4,36,Online Payment,3,10/26/2023
93,441,10,27,Debit Card,1,11/8/2023
39,387,3,56,Debit Card,5,6/12/2023
4,497,5,18,Credit Card,3,6/24/2023
59,255,5,68,Cash,3,10/1/2023
41,484,5,38,Online Payment,1,7/19/2023
100,171,1,44,Credit Card,5,9/30/2023
7,370,8,49,Online Payment,4,4/21/2023
6,26,3,52,Cash,3,1/25/2023
92,344,9,31,Cash,2,1/16/2023
75,506,2,28,Cash,3,2/3/2023
31,595,4,60,Online Payment,1,5/15/2023
87,405,6,33,Online Payment,2,5/28/2023
28,94,10,24,Credit Card,3,9/7/2023
45,140,4,65,Online Payment,4,6/10/2023
92,472,5,66,Cash,2,5/28/2023
55,483,4,44,Debit Card,3,10/31/2023
18,303,2,67,Credit Card,5,9/8/2023
44,297,1,8,Online Payment,0,9/28/2023
50,101,4,56,Online Payment,3,10/23/2023
97,293,3,46,Online Payment,1,9/6/2023
39,439,4,35,Credit Card,1,10/27/2023
61,59,3,11,Credit Card,5,4/1/2023
52,521,6,42,Debit Card,1,4/20/2023
2,108,1,43,Cash,1,7/8/2023
86,347,2,56,Credit Card,3,6/5/2023
73,391,7,65,Online Payment,3,8/4/2023
66,137,9,69,Cash,3,1/1/2023
10,23,3,41,Credit Card,5,9/1/2023
44,260,3,51,Cash,3,6/18/2023
3,360,7,44,Debit Card,2,9/4/2023
22,249,5,53,Debit Card,5,4/23/2023
16,261,1,33,Debit Card,5,9/19/2023
85,125,9,8,Debit Card,0,7/8/2023
88,571,2,65,Debit Card,5,3/1/2023
55,236,8,21,Credit Card,3,6/4/2023
79,155,8,31,Debit Card,5,9/19/2023
66,586,2,54,Online Payment,3,11/17/2023
25,576,1,26,Cash,3,6/17/2023
17,353,3,59,Cash,3,12/23/2023
6,366,8,18,Online Payment,5,6/3/2023
20,90,9,44,Debit Card,5,10/5/2023
73,548,8,20,Online Payment,4,12/24/2023
40,8,2,51,Debit Card,1,12/14/2023
44,586,1,36,Debit Card,4,10/25/2023
24,485,3,35,Cash,1,11/20/2023
64,310,8,67,Debit Card,3,8/16/2023
95,426,7,13,Online Payment,5,10/8/2023
79,222,4,37,Cash,1,8/22/2023
39,77,10,48,Online Payment,3,4/28/2023
27,127,3,20,Credit Card,2,7/2/2023
87,259,2,20,Credit Card,4,8/1/2023
93,229,3,50,Online Payment,3,5/24/2023
26,291,1,28,Cash,5,4/29/2023
91,109,2,49,Cash,4,6/12/2023
73,125,10,67,Debit Card,5,11/14/2023
51,56,2,28,Credit Card,1,12/21/2023
83,524,6,56,Credit Card,2,8/16/2023
41,260,4,69,Online Payment,2,9/8/2023
25,229,7,16,Debit Card,1,10/27/2023
8,111,7,25,Cash,3,3/7/2023
36,127,1,59,Debit Card,1,5/15/2023
71,564,1,44,Cash,2,1/15/2023
43,10,6,15,Credit Card,2,6/14/2023
40,103,4,25,Cash,3,6/20/2023
94,547,5,23,Online Payment,4,6/21/2023
70,547,1,11,Credit Card,5,5/1/2023
53,526,10,22,Debit Card,2,1/26/2023
44,211,1,34,Cash,2,9/22/2023
53,530,9,44,Cash,4,3/30/2023
14,25,8,46,Credit Card,2,5/9/2023
32,400,10,39,Debit Card,3,3/31/2023
44,112,3,6,Debit Card,0,5/27/2023
61,221,10,26,Debit Card,4,1/10/2023
99,476,3,6,Credit Card,0,8/31/2023
13,587,8,18,Debit Card,5,5/12/2023
26,521,8,47,Online Payment,4,3/2/2023
16,52,6,11,Credit Card,5,3/13/2023
16,521,6,58,Debit Card,2,11/16/2023
17,479,8,53,Cash,1,12/12/2023
66,153,3,25,Credit Card,5,7/13/2023
94,530,7,68,Credit Card,2,12/7/2023
97,419,5,40,Online Payment,5,1/27/2023
24,163,1,18,Debit Card,2,10/29/2023
34,206,5,36,Cash,1,2/8/2023
31,229,2,29,Credit Card,5,3/10/2023
32,357,1,65,Debit Card,3,8/23/2023
92,387,10,54,Credit Card,1,1/13/2023
41,1,3,57,Debit Card,2,3/30/2023
3,507,3,14,Online Payment,5,9/10/2023
35,237,2,53,Credit Card,1,3/11/2023
35,519,3,14,Debit Card,4,1/4/2023
18,524,2,60,Debit Card,3,9/12/2023
17,207,5,16,Credit Card,3,7/22/2023
3,311,10,50,Credit Card,2,12/21/2023
100,222,4,26,Cash,2,12/23/2023
2,511,5,62,Online Payment,3,9/21/2023
28,190,8,17,Debit Card,2,6/19/2023
88,497,6,11,Debit Card,3,9/20/2023
55,286,1,56,Cash,3,6/17/2023
44,205,4,46,Debit Card,5,3/11/2023
96,437,7,63,Online Payment,2,4/23/2023
5,194,5,38,Cash,5,6/4/2023
79,365,10,25,Debit Card,4,6/21/2023
80,274,10,48,Debit Card,2,5/1/2023
3,502,7,49,Online Payment,2,7/26/2023
80,170,6,37,Debit Card,2,1/15/2023
48,449,9,12,Debit Card,1,3/3/2023
28,62,7,57,Cash,1,7/5/2023
60,346,3,48,Credit Card,2,3/3/2023
29,439,7,51,Cash,3,12/14/2023
2,429,6,49,Credit Card,2,12/15/2023
43,358,1,9,Online Payment,0,2/11/2023
83,243,3,54,Cash,5,9/14/2023
63,82,2,69,Debit Card,5,2/15/2023
34,555,5,43,Credit Card,4,7/3/2023
15,580,3,4,Debit Card,0,11/13/2023
98,504,2,41,Credit Card,2,10/12/2023
56,590,10,35,Credit Card,1,4/20/2023
73,240,1,34,Cash,5,10/12/2023
100,254,1,49,Debit Card,4,11/6/2023
90,163,9,69,Debit Card,1,4/29/2023
34,555,7,14,Online Payment,2,4/28/2023
28,210,10,32,Online Payment,5,6/1/2023
87,470,6,5,Cash,0,1/13/2023
56,248,8,70,Debit Card,3,8/16/2023
73,428,1,42,Cash,1,11/15/2023
71,600,7,17,Debit Card,3,4/14/2023
25,329,10,31,Online Payment,1,5/9/2023
13,144,5,48,Credit Card,4,10/23/2023
87,382,9,30,Credit Card,1,6/29/2023
26,533,10,42,Online Payment,1,1/27/2023
76,84,6,27,Cash,2,1/24/2023
92,90,5,17,Online Payment,2,10/25/2023
17,455,8,47,Debit Card,5,9/10/2023
23,482,2,46,Online Payment,4,10/4/2023
48,105,10,66,Online Payment,5,11/18/2023
18,300,10,64,Debit Card,5,4/25/2023
93,518,2,49,Debit Card,2,3/27/2023
81,403,2,69,Credit Card,5,12/28/2023
53,174,5,30,Credit Card,4,12/29/2023
26,554,4,60,Cash,5,6/26/2023
72,176,6,66,Cash,5,9/4/2023
95,42,2,25,Debit Card,5,5/1/2023
4,338,7,50,Credit Card,2,8/1/2023
40,413,8,17,Credit Card,4,12/27/2023
87,535,8,57,Online Payment,4,3/21/2023
83,192,6,25,Cash,3,5/27/2023
72,78,5,28,Credit Card,5,12/7/2023
38,82,2,27,Debit Card,4,1/27/2023
24,418,5,49,Online Payment,2,6/14/2023
97,50,1,16,Credit Card,2,1/16/2023
50,17,2,31,Credit Card,3,1/17/2023
2,506,1,22,Debit Card,5,11/5/2023
2,400,4,49,Cash,1,12/26/2023
52,430,3,64,Credit Card,3,2/5/2023
4,534,6,11,Debit Card,3,5/24/2023
61,486,9,35,Debit Card,3,1/3/2023
8,507,10,54,Debit Card,4,4/25/2023
66,319,10,10,Online Payment,0,4/30/2023
93,465,3,65,Debit Card,5,1/23/2023
10,260,3,58,Credit Card,4,1/1/2023
87,424,6,14,Credit Card,3,1/13/2023
76,246,7,56,Online Payment,5,8/31/2023
11,549,8,17,Debit Card,5,1/17/2023
4,565,3,62,Debit Card,4,3/2/2023
16,323,4,49,Online Payment,3,12/6/2023
41,473,1,37,Cash,3,8/19/2023
66,260,7,70,Credit Card,2,12/4/2023
22,162,5,4,Online Payment,0,3/7/2023
52,248,9,64,Debit Card,2,7/2/2023
72,557,10,26,Online Payment,1,9/10/2023
46,75,2,48,Online Payment,1,2/1/2023
79,44,6,38,Online Payment,1,8/16/2023
44,491,8,13,Debit Card,2,2/24/2023
96,135,5,47,Debit Card,5,1/8/2023
6,513,1,19,Credit Card,1,10/16/2023
63,282,3,9,Cash,0,8/6/2023
51,386,10,59,Online Payment,1,2/22/2023
97,34,3,14,Cash,2,11/5/2023
8,591,10,42,Online Payment,5,2/9/2023
60,53,9,53,Credit Card,3,1/30/2023
26,327,9,21,Online Payment,1,10/3/2023
47,379,10,11,Online Payment,3,1/26/2023
64,221,8,19,Cash,2,8/24/2023
38,351,7,46,Credit Card,5,10/29/2023
9,371,5,70,Credit Card,5,9/14/2023
19,472,7,29,Online Payment,3,2/14/2023
6,39,10,59,Debit Card,3,3/20/2023
27,343,9,42,Credit Card,1,11/15/2023
97,27,9,33,Credit Card,4,2/8/2023
21,576,5,7,Cash,0,12/29/2023
38,68,8,61,Credit Card,4,7/9/2023
7,251,9,15,Online Payment,2,6/18/2023
14,294,1,18,Debit Card,5,2/1/2023
88,189,10,55,Cash,5,2/14/2023
84,132,1,57,Credit Card,3,7/3/2023
12,83,8,54,Credit Card,5,10/6/2023
61,83,9,6,Debit Card,0,11/30/2023
50,461,3,23,Online Payment,1,6/23/2023
80,160,10,23,Cash,2,7/14/2023
35,219,1,22,Cash,3,10/10/2023
50,76,9,20,Cash,4,12/11/2023
67,199,4,57,Cash,4,3/7/2023
45,164,3,59,Debit Card,3,7/29/2023
61,144,3,70,Cash,1,2/9/2023
43,203,10,31,Debit Card,1,2/23/2023
16,196,5,9,Cash,0,11/29/2023
52,13,5,17,Online Payment,5,5/25/2023
14,543,1,23,Online Payment,5,10/11/2023
50,475,9,44,Credit Card,5,11/26/2023
59,379,5,45,Online Payment,3,6/13/2023
31,589,7,44,Debit Card,2,7/18/2023
78,366,3,21,Online Payment,3,2/20/2023
64,462,1,11,Debit Card,4,2/1/2023
51,207,5,14,Credit Card,2,9/1/2023
65,404,10,49,Cash,2,7/16/2023
50,25,8,67,Online Payment,1,1/14/2023
43,156,6,6,Cash,0,10/11/2023
14,86,3,37,Online Payment,5,12/8/2023
38,396,8,9,Credit Card,0,8/3/2023
56,440,1,47,Debit Card,4,4/7/2023
94,539,8,59,Debit Card,4,2/6/2023
100,421,7,34,Online Payment,4,10/11/2023
23,324,1,40,Cash,2,11/4/2023
97,190,4,57,Cash,5,5/27/2023
34,33,5,59,Debit Card,3,12/15/2023
89,233,5,55,Online Payment,2,5/25/2023
79,268,5,45,Credit Card,3,7/25/2023
42,145,9,13,Debit Card,5,12/22/2023
64,382,6,35,Online Payment,1,5/6/2023
2,445,7,4,Debit Card,0,8/7/2023
71,441,3,61,Debit Card,1,9/29/2023
22,119,6,51,Credit Card,4,8/11/2023
34,227,4,30,Debit Card,5,8/1/2023
28,576,2,38,Debit Card,2,6/2/2023
2,107,7,20,Cash,2,12/19/2023
86,490,8,61,Credit Card,2,4/30/2023
53,489,1,16,Online Payment,5,4/5/2023
92,58,2,37,Debit Card,2,8/8/2023
61,374,8,37,Online Payment,2,9/27/2023
40,229,10,17,Credit Card,4,2/5/2023
29,505,3,43,Online Payment,2,3/1/2023
43,596,7,33,Debit Card,3,8/23/2023
86,373,7,44,Credit Card,3,6/7/2023
9,38,10,24,Online Payment,2,11/27/2023
78,243,10,28,Online Payment,4,10/29/2023
86,283,7,53,Cash,5,5/22/2023
90,425,3,45,Cash,3,10/13/2023
73,451,3,12,Online Payment,5,4/21/2023
38,589,6,16,Cash,5,5/18/2023
73,54,4,45,Credit Card,4,7/16/2023
89,136,8,49,Credit Card,4,5/26/2023
29,573,1,9,Cash,0,1/9/2023
96,403,6,61,Debit Card,4,1/4/2023
92,166,2,54,Cash,1,1/1/2023
75,402,5,5,Credit Card,0,2/25/2023
29,400,9,10,Online Payment,0,4/11/2023
7,270,9,9,Online Payment,0,10/15/2023
100,153,10,12,Online Payment,5,9/22/2023
40,425,10,26,Online Payment,1,9/27/2023
56,260,8,66,Debit Card,1,3/23/2023
74,268,10,41,Credit Card,1,9/11/2023
99,265,2,63,Online Payment,3,12/17/2023
27,170,9,16,Credit Card,2,2/23/2023
31,457,1,44,Debit Card,1,3/14/2023
32,434,4,68,Online Payment,2,2/14/2023
68,244,3,18,Cash,2,11/18/2023
16,285,1,29,Credit Card,4,7/10/2023
47,535,1,57,Cash,2,10/13/2023
64,59,4,39,Debit Card,1,7/7/2023
71,540,9,51,Credit Card,5,9/16/2023
56,337,1,32,Online Payment,1,2/18/2023
2,71,9,33,Debit Card,3,4/18/2023
72,15,3,44,Credit Card,4,4/12/2023
62,498,4,15,Cash,2,11/14/2023
67,199,7,52,Cash,3,2/23/2023
90,366,4,38,Online Payment,2,12/5/2023
67,313,4,50,Online Payment,5,1/16/2023
19,205,1,54,Online Payment,3,3/8/2023
7,580,8,43,Credit Card,5,12/23/2023
49,94,2,43,Debit Card,3,9/12/2023
48,380,7,59,Online Payment,3,5/17/2023
49,346,1,28,Cash,4,11/12/2023
57,224,8,30,Online Payment,5,10/18/2023
2,593,5,37,Online Payment,4,5/6/2023
36,332,3,11,Online Payment,5,3/19/2023
88,214,7,66,Cash,3,9/3/2023
49,345,5,53,Cash,5,2/6/2023
60,364,9,42,Cash,1,7/14/2023
63,343,1,22,Debit Card,5,11/5/2023
53,188,6,37,Cash,5,7/12/2023
57,305,7,62,Cash,4,2/26/2023
82,348,5,21,Cash,3,9/3/2023
55,208,1,50,Debit Card,5,4/8/2023
40,79,1,5,Credit Card,0,5/5/2023
56,12,3,32,Cash,1,3/15/2023
14,504,2,30,Online Payment,5,9/4/2023
19,503,8,21,Cash,2,2/14/2023
25,320,1,15,Credit Card,3,8/28/2023
66,252,8,49,Credit Card,5,9/18/2023
5,239,2,66,Online Payment,3,9/26/2023
68,10,6,32,Debit Card,2,4/5/2023
14,270,3,68,Credit Card,5,5/17/2023
12,264,8,22,Debit Card,3,11/7/2023
63,55,4,39,Cash,3,6/5/2023
6,534,6,38,Cash,3,10/26/2023
6,433,9,10,Credit Card,0,2/10/2023
64,7,5,60,Credit Card,3,4/17/2023
78,116,9,62,Online Payment,2,10/28/2023
100,328,7,43,Online Payment,5,12/27/2023
92,500,2,61,Online Payment,3,5/31/2023
29,91,9,6,Debit Card,0,8/5/2023
60,533,7,11,Debit Card,2,5/19/2023
60,11,4,52,Debit Card,1,1/13/2023
33,491,8,66,Cash,2,9/5/2023
65,179,4,17,Debit Card,2,5/9/2023
45,546,8,20,Cash,2,3/31/2023
76,167,3,31,Cash,5,6/3/2023
96,274,7,57,Debit Card,4,1/14/2023
92,290,3,4,Credit Card,0,10/22/2023
65,92,7,31,Cash,1,6/13/2023
12,320,5,9,Cash,0,7/28/2023
83,297,8,53,Cash,5,4/15/2023
8,525,7,30,Online Payment,3,10/30/2023
76,560,9,4,Online Payment,0,11/7/2023
75,31,4,47,Cash,3,3/3/2023
17,311,8,61,Credit Card,4,12/24/2023
50,146,10,35,Cash,1,4/12/2023
81,448,5,6,Online Payment,0,1/19/2023
55,429,8,68,Cash,3,10/17/2023
5,205,2,32,Online Payment,2,4/14/2023
50,573,7,34,Cash,2,10/8/2023
23,435,4,21,Cash,4,1/31/2023
41,38,7,33,Debit Card,3,5/11/2023
11,49,3,38,Debit Card,3,9/9/2023
89,543,6,48,Debit Card,5,6/11/2023
61,420,4,54,Cash,5,1/4/2023
16,599,3,38,Online Payment,4,10/28/2023
28,376,3,24,Debit Card,3,9/21/2023
86,452,2,27,Online Payment,2,4/14/2023
